시세(하한),시세(상한),시세,건설업체,지하철,건축년도,평수,연령,지하철1개 노선,지하철 2개노선,대기업더미,단지규모
24000,28000,26000,HD,0,1995,37,5,0,0,1,171
25000,29000,27000,CG,1,1991,34,9,1,0,0,170
25000,29000,27000,CG,1,1991,35,9,1,0,0,170
22000,25000,23500,CW,1,1981,31,19,1,0,0,370
24000,27000,25500,CW,1,1981,35,19,1,0,0,370
52000,57000,54500,CW,1,1981,54,19,1,0,0,370
12000,14000,13000,SI,1,1992,22,8,1,0,0,645
13500,16500,15000,SI,1,1992,26,8,1,0,0,645
21500,25000,23250,SI,1,1992,34,8,1,0,0,645
9700,10500,10100,JH,1,1993,15,7,1,0,0,1403
11000,12500,11750,JH,1,1993,17,7,1,0,0,1403
15700,17000,16350,JH,1,1993,21,7,1,0,0,1403
19000,21000,20000,DI,1,1993,22,7,1,0,0,330
29000,33000,31000,DI,1,1993,31,7,1,0,0,330
17000,18000,17500,SS,1,1997,23,3,1,0,1,680
24000,26000,25000,SS,1,1997,31,3,1,0,1,680
8800,9800,9300,SDA,1,1992,15,8,1,0,0,1162
10200,11200,10700,SDA,1,1992,17,8,1,0,0,1162
12200,12700,12450,SDA,1,1992,18,8,1,0,0,1162
12700,13700,13200,SDA,1,1992,21,8,1,0,0,1162
30000,34000,32000,HL,1,1993,37,7,1,0,0,468
40000,46000,43000,HL,1,1993,46,7,1,0,0,468
56000,63000,59500,HL,1,1993,57,7,1,0,0,468
22000,26000,24000,CPC,1,1987,32,13,1,0,0,950
25000,29000,27000,CPC,1,1982,34,18,1,0,0,340
43000,47000,45000,CPC,1,1987,47,13,1,0,0,950
50000,55000,52500,CPC,1,1982,50,18,1,0,0,340
52000,60000,56000,CPC,1,1987,56,13,1,0,0,950
63000,72000,67500,CPC,1,1982,58,18,1,0,0,340
27000,40000,33500,CPC,1,1982,35,18,1,0,0,2117
27000,40000,33500,CPC,1,1982,36,18,1,0,0,2117
33000,40000,36500,CPC,1,1982,39,18,1,0,0,2117
63000,78000,70500,CPC,1,1982,50,18,1,0,0,2117
58000,69000,63500,CPC,1,1982,51,18,1,0,0,2117
61000,74000,67500,CPC,1,1982,56,18,1,0,0,2117
63000,75000,69000,CPC,1,1982,57,18,1,0,0,2117
67000,82000,74500,CPC,1,1982,60,18,1,0,0,2117
73000,89000,81000,CPC,1,1982,61,18,1,0,0,2117
29000,30000,29500,HD,1,1976,33,24,1,0,1,3704
29000,32000,30500,HD,1,1976,35,24,1,0,1,3704
39000,42000,40500,HD,1,1976,43,24,1,0,1,3704
56000,59000,57500,HD,1,1976,44,24,1,0,1,3704
54000,66000,60000,HD,1,1976,48,24,1,0,1,3704
70000,75000,72500,HD,1,1976,52,24,1,0,1,3704
61000,65000,63000,HD,1,1976,53,24,1,0,1,3704
58000,63000,60500,HD,1,1976,54,24,1,0,1,3704
67000,105000,86000,HD,1,1976,65,24,1,0,1,3704
140000,160000,150000,HD,1,1976,80,24,1,0,1,3704
15500,17000,16250,HD,0,1978,20,22,0,0,0,2711
19000,21500,20250,HY,0,1978,27,22,0,0,0,2711
23000,27500,25250,HY,0,1978,32,22,0,0,0,2711
28000,33000,30500,HY,0,1978,37,22,0,0,0,2711
60000,65000,62500,HY,0,1979,49,21,0,0,0,2711
55000,70000,62500,HY,0,1979,59,21,0,0,0,2711
39000,43000,41000,HY,0,1980,39,20,0,0,0,2711
55000,63000,59000,HY,0,1980,55,20,0,0,0,2711
26000,28000,27000,HY,0,1980,33,20,0,0,0,2711
70000,100000,85000,HY,0,1980,69,20,0,0,0,2711
23000,26000,24500,HY,0,1981,32,19,0,0,0,2711
40000,45000,42500,HY,0,1981,40,19,0,0,0,2711
65000,70000,67500,HY,0,1981,54,19,0,0,0,2711
25000,30000,27500,HY,0,1982,35,18,0,0,0,2711
65000,70000,67500,HY,0,1982,53,18,0,0,0,2711
25000,30000,27500,HY,0,1983,35,17,0,0,0,2711
55000,60000,57500,HY,0,1983,46,17,0,0,0,2711
90000,120000,105000,HY,0,1984,69,16,0,0,0,2711
23500,24000,23750,SH,1,1978,19,22,1,0,0,1108
25500,26500,26000,SH,1,1978,21,22,1,0,0,1108
32500,34000,33250,SH,1,1978,26,22,1,0,0,1108
35000,36000,35500,SH,1,1978,28,22,1,0,0,1108
37000,39000,38000,SH,1,1978,29,22,1,0,0,1108
32000,34000,33000,SH,1,1978,30,22,1,0,0,1108
32000,33000,32500,SH,1,1978,31,22,1,0,0,1108
35000,38000,36500,SH,1,1978,41,22,1,0,0,1108
41000,48000,44500,SH,1,1978,47,22,1,0,0,1108
18000,2000,10000,SH,1,1980,24,20,1,0,0,732
25000,27000,26000,SH,1,1980,31,20,1,0,0,732
26000,30000,28000,SH,1,1980,34,20,1,0,0,732
25000,30000,27500,SH,1,1980,34,20,1,0,0,732
40000,48000,44000,SH,1,1980,48,20,1,0,0,732
53000,58000,55500,SH,1,1980,57,20,1,0,0,732
53000,63000,58000,SH,1,1980,62,20,1,0,0,732
20000,22000,21000,DB,1,1998,24,2,1,0,0,206
32000,33000,32500,DB,1,1998,34,2,1,0,0,206
18000,19000,18500,SDY,0,1979,25,21,0,0,0,375
21000,23000,22000,SDY,0,1979,28,21,0,0,0,375
24000,28000,26000,SDY,0,1979,33,21,0,0,0,375
33000,37000,35000,SDY,0,1979,42,21,0,0,0,375
13000,13500,13250,SH,0,1980,19,20,0,0,0,424
